Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),mScarlet (EX),mScarlet (EM),mCherry (EX),mCherry (EM),tdTomato (EX),tdTomato (EM)
398,0.0233,0.0,0.1562,0.5189,0.3853,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.008,0.0,0.020434200000000003,0.0,0.039340099999999996,0.0,0.020362,0.0
399,0.0233,0.0,0.1314,0.5446,0.402,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.006999999999999999,0.0,0.019157099999999996,0.0,0.036802,0.0,0.0214932,0.0
400,0.0233,0.0,0.1079,0.5703,0.4191,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.006,0.0,0.01788,0.0,0.036802,0.0,0.0214932,0.0
401,0.0233,0.0,0.09,0.5911,0.4362,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.006,0.0,0.0166028,0.0,0.035533,0.0,0.022624400000000003,0.0
402,0.0233,0.0,0.0789,0.6105,0.4549,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.006,0.0,0.0166028,0.0,0.0329949,0.0,0.022624400000000003,0.0
403,0.0233,0.0,0.0677,0.6299,0.4727,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.005,0.0,0.0166028,0.0,0.0317259,0.0,0.022624400000000003,0.0
404,0.0247,0.0,0.0566,0.648,0.4903,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.005,0.0,0.0153257,0.0,0.0317259,0.0,0.0237557,0.0
405,0.026000000000000002,0.0,0.0454,0.6657,0.509,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.005,0.0,0.014048499999999998,0.0,0.0291878,0.0,0.0237557,0.0
406,0.0258,0.0,0.0343,0.6835,0.5266,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.005,0.0,0.014048499999999998,0.0,0.0279188,0.0,0.0237557,0.0
407,0.0261,0.0,0.028999999999999998,0.7015,0.5446,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.005,0.0,0.0153257,0.0,0.026649700000000002,0.0,0.0237557,0.0
408,0.0267,0.0,0.0259,0.7195,0.5625,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.004,0.0,0.0153257,0.0,0.026649700000000002,0.0,0.0237557,0.0
409,0.0277,0.0,0.0227,0.7385,0.5797,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.005,0.0,0.014048499999999998,0.0,0.024111700000000003,0.0,0.0260181,0.0
410,0.0284,0.0,0.0195,0.7575,0.5965,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.005,0.0,0.014048499999999998,0.0,0.022842599999999998,0.0,0.0260181,0.0
411,0.0285,0.0,0.0163,0.7762,0.6136,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.005,0.0,0.014048499999999998,0.0,0.022842599999999998,0.0,0.0260181,0.0
412,0.0285,0.0,0.0132,0.7949,0.6297,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.005,0.0,0.014048499999999998,0.0,0.020304599999999996,0.0,0.027149299999999998,0.0
