Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM)
435,0.0483,0,0,0.9832,1,0.0044,0,0,0,0,0.015,0,0,0,0.008,0
436,0.0497,0,0,0.9814,0.9997,0.0056,0,0,0,0,0.016,0,0,0,0.009,0
437,0.0517,0,0,0.9795,0.9968,0.0042,0,0,0,0,0.017,0,0,0,0.009,0
438,0.0545,0,0,0.9777,0.9936,0.0049,0,0,0,0,0.018,0,0,0,0.01,0
439,0.0564,0,0,0.9727,0.9895,0.0051,0,0,0,0,0.019,0,0,0,0.01,0
440,0.0589,0,0,0.9669,0.9838,0.0065,0,0,0,0,0.02,0,0,0,0.011,0
441,0.0618,0,0,0.9616,0.9785,0.0065,0,0,0,0,0.021,0,0,0,0.012,0
442,0.0646,0,0,0.9563,0.9732,0.0079,0,0,0,0,0.023,0,0,0,0.012,0
443,0.0675,0,0,0.9509,0.9683,0.0093,0,0,0,0,0.024,0,0,0,0.012,0
444,0.0704,0,0,0.9456,0.9649,0.0111,0,0,0,0,0.025,0,0,0,0.013,0
445,0.0731,0,0,0.9403,0.9616,0.013,0,0,0,0,0.027,0,0,0,0.013,0
446,0.076,0,0,0.9296,0.96,0.0159,0,0,0,0,0.028,0,0,0,0.014,0
447,0.0785,0,0,0.9176,0.9594,0.0188,0,0,0,0,0.03,0,0,0,0.015,0
448,0.0804,0,0,0.9056,0.9598,0.023,0,0,0,0,0.032,0,0,0,0.015,0
449,0.0833,0,0,0.8928,0.9603,0.0294,0,0,0,0,0.034,0,0,0,0.016,0
450,0.0863,0,0,0.8794,0.9617,0.035,0,0,0,0,0.035,0,0.012,0,0.017,0
451,0.089,0,0,0.8659,0.962,0.0433,0,0,0,0,0.037,0,0.013,0,0.018,0
452,0.0919,0,0,0.8519,0.9619,0.0539,0,0,0,0,0.039,0,0.013,0,0.018,0
453,0.0948,0,0,0.8358,0.96,0.0663,0,0,0,0,0.041,0,0.014,0,0.02,0
454,0.0992,0,0,0.8198,0.9565,0.0817,0,0,0,0,0.044,0,0.015,0,0.021,0
455,0.1033,0,0,0.8031,0.9494,0.1014,0,0,0,0,0.046,0,0.016,0,0.022,0
456,0.1076,0,0,0.7837,0.9402,0.1241,0,0,0,0,0.049,0,0.017,0,0.023,0
457,0.1114,0,0,0.7644,0.926,0.1495,0,0,0,0,0.051,0,0.018,0,0.024,0
458,0.1151,0,0,0.7457,0.908,0.1793,0,0,0,0,0.054,0,0.019,0,0.025,0
459,0.1194,0,0,0.7272,0.8851,0.2144,0,0,0,0,0.057,0,0.02,0,0.026,0
460,0.1226,0,0,0.7088,0.8573,0.259,0,0,0,0,0.06,0,0.021,0,0.028,0
461,0.1264,0,0,0.687,0.8248,0.3049,0,0,0,0,0.063,0,0.022,0,0.029,0
462,0.1321,0,0,0.6651,0.7884,0.3587,0,0,0,0,0.067,0,0.023,0,0.03,0
463,0.1363,0,0,0.645,0.747,0.4174,0,0,0,0,0.07,0,0.025,0,0.032,0
464,0.1392,0,0,0.6249,0.7027,0.4752,0,0,0,0,0.074,0,0.025,0,0.034,0
465,0.1437,0,0,0.608,0.6558,0.5366,0,0,0,0,0.079,0,0.028,0,0.037,0
466,0.1482,0,0,0.5912,0.6083,0.6004,0,0,0,0,0.083,0,0.029,0,0.038,0
467,0.152,0,0,0.5744,0.5595,0.6654,0,0,0,0,0.087,0,0.03,0,0.04,0
468,0.1566,0,0,0.5573,0.5119,0.7305,0,0,0,0,0.091,0,0.031,0,0.042,0
469,0.1601,0,0,0.5401,0.4655,0.7849,0,0,0,0,0.096,0,0.032,0,0.044,0
470,0.1625,0,0,0.5237,0.4212,0.8414,0,0,0,0,0.102,0,0.034,0,0.046,0
471,0.168,0,0,0.5092,0.3787,0.8914,0,0,0,0,0.107,0,0.036,0,0.049,0
472,0.1737,0,0,0.4948,0.34,0.9304,0,0,0,0,0.114,0,0.037,0,0.052,0
473,0.1778,0,0,0.4811,0.3043,0.9588,0,0,0,0,0.118,0,0.039,0,0.054,0
474,0.1806,0,0,0.4682,0.2721,0.9707,0,0,0,0,0.122,0,0.04,0,0.057,0
475,0.1855,0,0,0.4553,0.2425,0.9946,0,0,0,0,0.129,0,0.042,0,0.062,0
476,0.1914,0,0,0.4424,0.2168,0.9966,0,0,0,0,0.134,0,0.043,0,0.064,0
477,0.1971,0,0,0.4306,0.1933,1,0,0,0,0,0.139,0,0.046,0,0.068,0
478,0.2029,0,0,0.4188,0.1725,0.9929,0,0,0,0,0.144,0,0.047,0,0.07,0
479,0.2087,0,0,0.4069,0.1551,0.9857,0,0,0,0,0.149,0,0.05,0,0.073,0
480,0.2142,0,0,0.3967,0.1382,0.9683,0,0,0,0,0.153,0,0.051,0,0.077,0
481,0.2199,0,0,0.3894,0.1236,0.9527,0,0,0,0,0.157,0,0.054,0,0.08,0
482,0.2257,0,0,0.3822,0.1108,0.9367,0,0,0,0,0.162,0,0.056,0,0.084,0
483,0.2314,0,0,0.3749,0.099,0.9205,0,0,0,0,0.167,0,0.058,0,0.087,0
484,0.2366,0,0,0.3677,0.0885,0.9057,0,0,0,0,0.171,0,0.061,0,0.091,0
485,0.2413,0,0,0.3597,0.0789,0.8959,0,0,0,0,0.177,0,0.064,0,0.094,0
486,0.2476,0,0,0.3504,0.07,0.8834,0,0,0,0,0.183,0,0.066,0,0.098,0
487,0.2551,0,0,0.3412,0.0614,0.8749,0,0,0,0,0.188,0,0.069,0,0.102,0
488,0.2622,0,0,0.3319,0.054,0.8677,0,0,0,0,0.196,0,0.072,0,0.107,0
489,0.2703,0,0,0.3227,0.0476,0.8586,0,0,0,0,0.202,0,0.076,0,0.111,0
490,0.2789,0,0,0.3139,0.042,0.8521,0,0,0,0,0.21,0,0.078,0,0.117,0
491,0.2849,0,0,0.3054,0.0371,0.8557,0,0,0,0,0.219,0,0.083,0,0.12,0
492,0.2905,0,0,0.297,0.0326,0.8617,0,0,0,0,0.225,0,0.086,0,0.125,0
493,0.2946,0,0,0.2886,0.0277,0.8604,0,0,0,0,0.234,0,0.089,0,0.13,0
494,0.2971,0,0,0.2801,0.0248,0.8655,0,0,0,0,0.245,0,0.094,0,0.136,0
495,0.298,0,0,0.2721,0.0217,0.8742,0,0,0,0,0.256,0,0.098,0,0.142,0
496,0.2979,0,0,0.2642,0.0185,0.8792,0,0,0,0,0.269,0,0.101,0,0.15,0
497,0.2979,0,0,0.2563,0.0159,0.8804,0,0,0,0,0.282,0,0.105,0,0.156,0
498,0.2988,0,0,0.2484,0.0144,0.8873,0,0,0,0,0.296,0,0.11,0,0.164,0
499,0.3013,0,0,0.2405,0.0125,0.8952,0,0,0,0,0.311,0,0.115,0,0.172,0
500,0.3041,0,0,0.2333,0.0116,0.8984,0,0,0,0,0.327,0,0.12,0,0.181,0
501,0.3083,0,0,0.2261,0.0104,0.9051,0,0,0,0,0.344,0,0.124,0,0.189,0
502,0.3124,0,0,0.2189,0.0095,0.9037,0,0,0,0,0.361,0,0.129,0,0.2,0
503,0.3135,0,0,0.2116,0.0082,0.9042,0,0,0,0,0.378,0,0.133,0,0.209,0
504,0.3133,0,0,0.2043,0.0087,0.9037,0,0,0,0,0.395,0,0.139,0,0.222,0
505,0.3126,0,0,0.1966,0.0072,0.8923,0,0,0,0,0.413,0,0.144,0,0.234,0
506,0.3117,0,0,0.1888,0.0069,0.891,0,0,0,0,0.429,0,0.149,0,0.245,0
507,0.3101,0,0,0.181,0.0065,0.8719,0,0,0,0,0.445,0,0.155,0,0.26,0
508,0.3085,0,0,0.1733,0.0062,0.8599,0,0,0,0,0.459,0,0.161,0,0.269,0
509,0.3082,0,0,0.166,0.0058,0.8454,0,0,0,0,0.472,0,0.168,0,0.285,0
510,0.3083,0,0,0.1596,0.0061,0.8278,0,0,0,0,0.483,0,0.173,0,0.297,0
511,0.3083,0,0,0.1532,0.0055,0.8105,0,0,0,0,0.491,0,0.181,0,0.312,0
512,0.3099,0,0,0.1467,0.0054,0.7875,0,0,0,0,0.498,0,0.188,0,0.322,0
